ts_code,name,source_index,freeze_date
000001.SZ,平安银行,HS300,2026-06-07
000002.SZ,万科Ａ,HS300,2026-06-07
000063.SZ,中兴通讯,HS300,2026-06-07
000100.SZ,TCL科技,HS300,2026-06-07
000157.SZ,中联重科,HS300,2026-06-07
000166.SZ,申万宏源,HS300,2026-06-07
000301.SZ,东方盛虹,HS300,2026-06-07
000333.SZ,美的集团,HS300,2026-06-07
000338.SZ,潍柴动力,HS300,2026-06-07
000408.SZ,藏格矿业,HS300,2026-06-07
000425.SZ,徐工机械,HS300,2026-06-07
000538.SZ,云南白药,HS300,2026-06-07
000568.SZ,泸州老窖,HS300,2026-06-07
000596.SZ,古井贡酒,HS300,2026-06-07
000617.SZ,中油资本,HS300,2026-06-07
000625.SZ,长安汽车,HS300,2026-06-07
000630.SZ,铜陵有色,HS300,2026-06-07
000651.SZ,格力电器,HS300,2026-06-07
000661.SZ,长春高新,HS300,2026-06-07
000708.SZ,中信特钢,HS300,2026-06-07
000725.SZ,京东方Ａ,HS300,2026-06-07
000768.SZ,中航西飞,HS300,2026-06-07
000776.SZ,广发证券,HS300,2026-06-07
000786.SZ,北新建材,HS300,2026-06-07
000792.SZ,盐湖股份,HS300,2026-06-07
000807.SZ,云铝股份,HS300,2026-06-07
000858.SZ,五粮液,HS300,2026-06-07
000876.SZ,新希望,HS300,2026-06-07
000895.SZ,双汇发展,HS300,2026-06-07
000938.SZ,紫光股份,HS300,2026-06-07
000963.SZ,华东医药,HS300,2026-06-07
000975.SZ,山金国际,HS300,2026-06-07
000977.SZ,浪潮信息,HS300,2026-06-07
000983.SZ,山西焦煤,HS300,2026-06-07
000999.SZ,华润三九,HS300,2026-06-07
001391.SZ,国货航,HS300,2026-06-07
001965.SZ,招商公路,HS300,2026-06-07
001979.SZ,招商蛇口,HS300,2026-06-07
002001.SZ,新和成,HS300,2026-06-07
002027.SZ,分众传媒,HS300,2026-06-07
002028.SZ,思源电气,HS300,2026-06-07
002049.SZ,紫光国微,HS300,2026-06-07
002050.SZ,三花智控,HS300,2026-06-07
002074.SZ,国轩高科,HS300,2026-06-07
002142.SZ,宁波银行,HS300,2026-06-07
002179.SZ,中航光电,HS300,2026-06-07
002230.SZ,科大讯飞,HS300,2026-06-07
002236.SZ,大华股份,HS300,2026-06-07
002241.SZ,歌尔股份,HS300,2026-06-07
002252.SZ,上海莱士,HS300,2026-06-07
002304.SZ,洋河股份,HS300,2026-06-07
002311.SZ,海大集团,HS300,2026-06-07
002352.SZ,顺丰控股,HS300,2026-06-07
