trade_date,open,high,low,close,volume,amount,pct_chg,circ_mv
2001-08-27,4.09,4.47,3.89,4.21,406318.0,1410347.179,,254182.5
2001-08-28,4.14,4.38,4.1,4.36,129647.79,463463.143,3.68,263549.0
2001-08-29,4.38,4.38,4.27,4.31,53252.75,194689.62,-1.3,260117.0
2001-08-30,4.3,4.44,4.26,4.39,48013.06,177558.558,1.98,265265.0
2001-08-31,4.4,4.45,4.36,4.38,23231.48,86231.237,-0.24,264621.5
2001-09-03,4.4,4.45,4.36,4.38,22112.09,82129.438,-0.05,264478.5
2001-09-04,4.38,4.51,4.37,4.44,37006.77,139204.38,1.27,267839.0
2001-09-05,4.45,4.49,4.41,4.43,26066.95,97796.243,-0.05,267696.0
2001-09-06,4.42,4.44,4.32,4.35,28997.03,107078.403,-1.98,262405.0
2001-09-07,4.32,4.37,4.22,4.22,31552.25,113868.743,-2.78,255112.0
2001-09-10,4.19,4.36,4.14,4.35,18878.89,68406.471,2.86,262405.0
2001-09-11,4.36,4.37,4.29,4.3,11390.81,41579.698,-1.12,259473.5
2001-09-12,4.18,4.29,4.18,4.26,25045.19,89421.38,-0.85,257257.0
2001-09-13,4.26,4.3,4.23,4.25,10986.68,39512.775,-0.25,256613.5
2001-09-14,4.26,4.32,4.24,4.3,7672.83,27740.691,1.14,259545.0
2001-09-17,4.27,4.3,4.2,4.24,8983.97,32183.249,-1.27,256256.0
2001-09-18,4.25,4.33,4.24,4.29,10773.26,39006.062,1.14,259187.5
2001-09-19,4.3,4.37,4.27,4.37,8650.53,31597.369,1.85,263978.0
2001-09-20,4.37,4.39,4.32,4.33,11173.35,41189.577,-0.84,261761.5
2001-09-21,4.3,4.33,4.26,4.27,7879.72,28638.681,-1.5,257829.0
2001-09-24,4.27,4.31,4.26,4.27,4068.6,14703.096,-0.03,257757.5
2001-09-25,4.3,4.33,4.27,4.29,3488.45,12639.79,0.5,259044.5
2001-09-26,4.28,4.32,4.26,4.27,4956.26,17892.565,-0.41,257972.0
2001-09-27,4.27,4.38,4.26,4.35,8778.04,32085.131,1.72,262405.0
2001-09-28,4.37,4.4,4.32,4.39,17088.47,63169.143,1.06,265193.5
2001-10-08,4.38,4.4,4.29,4.33,6552.17,24091.149,-1.38,261547.0
2001-10-09,4.33,4.44,4.33,4.42,9558.52,35498.605,1.97,266695.0
2001-10-10,4.42,4.43,4.27,4.27,17548.69,63956.753,-3.22,258115.0
2001-10-11,4.26,4.32,4.22,4.23,12306.84,44319.896,-0.97,255612.5
2001-10-12,4.25,4.34,4.03,4.26,20010.7,70897.331,0.7,257400.0
2001-10-15,4.25,4.26,4.13,4.18,9755.31,34501.714,-1.94,252395.0
2001-10-16,4.16,4.24,4.11,4.12,8319.91,29068.173,-1.42,248820.0
2001-10-17,4.12,4.12,4.01,4.05,12507.68,42766.283,-1.72,244530.0
2001-10-18,4.05,4.1,4.01,4.03,4983.46,16999.063,-0.47,243386.0
2001-10-19,4.03,4.04,3.91,3.97,15687.54,52422.843,-1.59,239525.0
2001-10-22,3.94,3.99,3.87,3.88,9760.65,32268.911,-2.12,234448.5
2001-10-23,4.26,4.27,4.14,4.27,40598.24,145710.538,10.0,257900.5
2001-10-24,4.35,4.36,4.16,4.25,40682.39,147001.102,-0.58,256399.0
2001-10-25,4.23,4.24,4.13,4.13,16036.86,56527.283,-2.73,249392.0
2001-10-26,4.11,4.16,4.08,4.14,9002.2,31280.145,0.34,250250.0
2001-10-29,4.13,4.22,4.13,4.18,4587.86,16205.054,0.86,252395.0
2001-10-30,4.17,4.2,4.13,4.14,3484.17,12214.728,-0.85,250250.0
2001-10-31,4.14,4.15,4.12,4.15,4762.47,16633.345,0.14,250607.5
2001-11-01,4.15,4.22,4.14,4.21,6643.03,23511.58,1.48,254325.5
2001-11-02,4.18,4.23,4.16,4.19,3435.2,12189.356,-0.59,252824.0
2001-11-05,4.14,4.17,4.11,4.13,3690.76,12879.737,-1.3,249535.0
2001-11-06,4.12,4.18,4.11,4.16,2609.31,9138.666,0.72,251322.5
2001-11-07,4.14,4.14,4.0,4.01,9325.38,31791.131,-3.7,242027.5
2001-11-08,3.95,4.01,3.9,3.99,7402.16,24682.905,-0.44,240955.0
2001-11-09,3.99,4.08,3.95,4.04,3760.76,12737.203,1.34,244172.5
2001-11-12,4.07,4.07,3.97,3.98,2683.33,9088.858,-1.61,240240.0
2001-11-13,3.94,3.99,3.93,3.98,2673.81,8965.279,0.12,240526.0
2001-11-14,3.98,4.03,3.98,3.98,769.0,2599.26,0.03,240597.5
2001-11-15,3.98,4.0,3.97,3.99,2193.45,7378.238,0.09,240812.0
2001-11-16,4.29,4.29,4.02,4.04,9954.7,34600.364,1.22,243743.5
2001-11-19,4.04,4.15,4.04,4.15,3734.61,12950.484,2.82,250607.5
2001-11-20,4.17,4.21,4.13,4.19,8069.08,28559.195,0.94,252967.0
2001-11-21,4.2,4.2,4.13,4.17,5114.42,17957.63,-0.57,251537.0
2001-11-22,4.17,4.18,4.13,4.16,4198.79,14713.84,-0.17,251108.0
2001-11-23,4.14,4.17,4.12,4.14,3960.9,13866.447,-0.4,250107.0
2001-11-26,4.14,4.14,4.08,4.1,3100.99,10749.495,-1.06,247461.5
2001-11-27,4.09,4.15,4.09,4.14,2569.48,8954.894,1.13,250250.0
2001-11-28,4.15,4.19,4.13,4.15,3773.62,13256.608,0.14,250607.5
2001-11-29,4.14,4.17,4.12,4.12,3046.18,10658.762,-0.63,249034.5
2001-11-30,4.12,4.2,4.12,4.18,4070.97,14292.95,1.46,252681.0
2001-12-03,4.19,4.29,4.18,4.28,16037.05,57741.7,2.35,258615.5
2001-12-04,4.29,4.29,4.24,4.29,6894.99,24859.86,0.11,258901.5
2001-12-05,4.38,4.38,4.26,4.26,15028.35,54737.513,-0.58,257400.0
2001-12-06,4.25,4.3,4.24,4.27,6372.22,23004.767,0.17,257829.0
2001-12-07,4.27,4.29,4.24,4.25,3908.2,14031.912,-0.55,256399.0
2001-12-10,4.26,4.27,4.23,4.26,4161.56,14941.666,0.36,257328.5
2001-12-11,4.26,4.26,4.22,4.22,3580.02,12821.499,-0.97,254826.0
2001-12-12,4.21,4.27,4.21,4.23,4632.67,16611.472,0.36,255755.5
2001-12-13,4.22,4.26,4.17,4.17,3540.45,12580.276,-1.43,252109.0
2001-12-14,4.15,4.2,4.15,4.17,2841.25,10026.619,-0.17,251680.0
2001-12-17,4.16,4.22,4.15,4.19,4413.89,15611.05,0.45,252824.0
2001-12-18,4.2,4.26,4.16,4.25,4821.2,17167.382,1.53,256685.0
2001-12-19,4.25,4.32,4.22,4.26,9620.01,34761.229,0.17,257114.0
2001-12-20,4.25,4.25,4.1,4.12,11362.23,39988.83,-3.34,248534.0
2001-12-21,4.11,4.26,4.11,4.25,8135.04,28861.442,3.19,256470.5
2001-12-24,4.26,4.41,4.24,4.31,27250.79,99947.172,1.53,260403.0
2001-12-25,4.32,4.35,4.26,4.32,12182.6,44420.025,0.22,260975.0
2001-12-26,4.33,4.41,4.27,4.4,16809.52,62127.143,1.89,265908.5
2001-12-27,4.41,4.48,4.37,4.42,23284.78,87052.679,0.35,266838.0
2001-12-28,4.42,4.45,4.37,4.42,12279.32,45692.306,-0.05,266695.0
2001-12-31,4.46,4.65,4.44,4.56,52195.41,202281.565,3.35,275632.5
2002-01-04,4.58,4.59,4.43,4.45,29109.62,111030.307,,268482.5
2002-01-07,4.4,4.44,4.34,4.42,18942.95,70279.717,-0.53,267052.5
2002-01-08,4.38,4.45,4.32,4.33,13286.64,48947.614,-2.03,261618.5
2002-01-09,4.32,4.4,4.3,4.37,10606.82,38912.708,0.77,263620.5
2002-01-10,4.38,4.43,4.3,4.41,18815.55,69093.753,1.0,266266.0
2002-01-11,4.38,4.4,4.26,4.27,11834.75,43306.414,-3.2,257757.5
2002-01-14,4.23,4.31,4.19,4.27,18718.51,67196.713,0.14,258115.0
2002-01-15,4.26,4.39,4.25,4.33,18247.41,66666.866,1.22,261261.0
2002-01-16,4.32,4.38,4.19,4.3,13974.33,50700.232,-0.52,259902.5
2002-01-17,4.29,4.32,4.11,4.15,24180.31,85418.339,-3.55,250679.0
2002-01-18,4.12,4.37,4.11,4.34,32262.08,116437.266,4.54,262047.5
2002-01-21,4.3,4.33,4.21,4.25,15755.93,56764.193,-2.13,256470.5
2002-01-22,4.24,4.37,4.24,4.31,13485.67,49186.214,1.59,260546.0
2002-01-23,4.34,4.46,4.29,4.45,23336.48,86396.947,3.24,268983.0
2002-01-24,4.42,4.48,4.36,4.41,26615.8,99483.236,-0.88,266623.5
2002-01-25,4.41,4.45,4.36,4.39,13941.12,51685.502,-0.51,265265.0
2002-01-28,4.38,4.41,4.18,4.2,21667.82,77886.073,-4.34,253753.5
2002-01-29,4.17,4.29,4.14,4.22,11872.0,42283.085,0.48,254969.0
2002-01-30,4.21,4.3,4.17,4.21,8419.22,30030.708,-0.22,254397.0
2002-01-31,4.26,4.5,4.26,4.45,40828.3,152780.902,5.68,268840.0
2002-02-01,4.44,4.5,4.37,4.39,17345.03,64926.556,-1.44,264979.0
2002-02-04,4.4,4.52,4.38,4.49,16510.19,62395.237,2.32,271128.0
2002-02-05,4.49,4.58,4.46,4.49,11195.73,42691.507,-0.05,270985.0
2002-02-06,4.48,4.51,4.39,4.4,9668.54,36137.656,-1.9,265837.0
2002-02-07,4.4,4.49,4.39,4.43,6688.17,25158.901,0.62,267481.5
