trade_date,open,high,low,close,volume,amount,pct_chg,ma25,ma60,dif,dea,macd
2018-01-02,589.33,597.88,580.82,592.57,49612.48,3482407.646,,,,0.0,0.0,0.0
2018-01-03,590.59,607.34,589.11,602.68,52019.41,3713523.701,1.71,,,0.81,0.16,1.3
2018-01-04,607.34,625.95,605.6,620.54,72205.08,5309890.21,2.96,,,2.85,0.7,4.3
2018-01-05,623.85,628.08,613.09,621.62,39989.07,2946493.013,0.18,,,4.51,1.46,6.1
2018-01-08,618.81,636.9,618.81,633.22,52204.56,3899951.72,1.86,,,6.68,2.51,8.34
2018-01-09,633.28,659.21,633.28,658.8,64591.95,5001164.506,4.04,,,10.35,4.07,12.56
2018-01-10,660.89,664.16,651.19,661.49,47714.24,3731993.154,0.41,,,13.32,5.92,14.8
2018-01-11,662.57,663.41,649.94,652.31,50656.07,3942075.854,-1.39,,,14.76,7.69,14.14
2018-01-12,651.43,664.09,645.75,663.77,45988.24,3577281.776,1.76,,,16.64,9.48,14.32
2018-01-15,668.01,672.73,655.85,661.2,52473.13,4136645.487,-0.39,,,17.71,11.13,13.16
2018-01-16,657.08,663.93,646.58,650.74,65428.33,5084966.063,-1.58,,,17.52,12.41,10.22
2018-01-17,648.26,651.63,621.75,629.68,90709.54,6835580.477,-3.24,,,15.49,13.02,4.94
2018-01-18,629.68,644.05,626.45,632.05,58978.51,4443031.234,0.38,,,13.91,13.2,1.42
2018-01-19,633.86,638.92,622.18,631.57,50925.56,3818021.99,-0.07,,,12.48,13.06,-1.16
2018-01-22,632.95,651.63,632.95,651.33,67126.75,5129674.653,3.13,,,12.79,13.0,-0.42
2018-01-23,654.84,656.68,647.08,651.44,49549.18,3836387.69,0.02,,,12.89,12.98,-0.18
2018-01-24,653.68,653.7,638.66,643.6,43298.81,3311348.774,-1.2,,,12.2,12.82,-1.24
2018-01-25,640.68,653.31,632.26,647.55,50040.72,3821875.04,0.61,,,11.84,12.63,-1.58
2018-01-26,645.94,654.49,643.21,654.34,43978.33,3389953.777,1.05,,,11.96,12.49,-1.06
2018-01-29,655.64,656.4,618.79,619.91,74535.51,5637041.971,-5.26,,,9.17,11.83,-5.32
2018-01-30,619.64,630.39,614.6,624.76,51911.03,3852705.098,0.78,,,7.27,10.92,-7.3
2018-01-31,622.16,649.7,622.16,643.66,60402.41,4601994.781,3.03,,,7.21,10.18,-5.94
2018-02-01,645.74,645.99,633.88,637.93,50582.61,3846421.613,-0.89,,,6.62,9.46,-5.68
2018-02-02,633.29,634.14,610.38,623.34,75420.82,5583742.782,-2.29,,,4.92,8.56,-7.28
2018-02-05,612.24,614.55,594.04,604.68,98995.85,7104095.616,-2.99,636.59,,2.04,7.25,-10.42
2018-02-06,591.85,608.35,591.85,596.79,88168.71,6270888.575,-1.3,636.76,,-0.87,5.63,-13.0
2018-02-07,606.17,609.43,574.18,575.38,88289.98,6231141.116,-3.59,635.67,,-4.85,3.53,-16.76
2018-02-08,574.34,604.48,574.34,590.16,83409.43,5860233.484,2.57,634.45,,-6.73,1.48,-16.42
2018-02-09,572.49,580.82,553.97,575.38,105578.26,7160206.33,-2.51,632.6,,-9.3,-0.68,-17.24
2018-02-12,581.75,593.96,576.87,587.21,64179.55,4466343.242,2.06,630.76,,-10.27,-2.59,-15.36
2018-02-13,593.55,601.8,593.12,599.41,53389.18,3793782.378,2.08,628.39,,-9.94,-4.06,-11.76
2018-02-14,606.17,606.17,599.62,604.86,30652.6,2198728.707,0.91,626.12,,-9.13,-5.08,-8.1
2018-02-22,612.31,626.37,608.89,625.07,50764.69,3717469.267,3.34,625.03,,-6.78,-5.42,-2.72
2018-02-23,628.9,636.95,620.48,625.09,38158.77,2844936.758,0.0,623.49,,-4.86,-5.31,0.9
2018-02-26,628.8,633.15,617.13,625.96,43658.24,3243216.345,0.14,622.08,,-3.23,-4.89,3.32
2018-02-27,630.58,636.47,620.66,621.3,42601.54,3181778.842,-0.74,620.9,,-2.29,-4.37,4.16
2018-02-28,616.27,624.94,605.32,610.9,48330.67,3522004.686,-1.67,620.15,,-2.36,-3.97,3.22
2018-03-01,612.9,628.77,609.34,624.66,44794.65,3303604.159,2.25,619.85,,-1.29,-3.43,4.28
2018-03-02,621.32,626.0,614.58,619.98,25991.9,1912613.83,-0.75,619.39,,-0.8,-2.91,4.22
2018-03-05,621.47,624.69,603.67,606.26,37234.7,2703926.955,-2.21,617.58,,-1.51,-2.63,2.24
