ts_code,episode,entry_date,exit_date,holding_days,avg_cost,avg_exit_price,total_shares,gross_pnl,return_pct,add_count,take_profit_count,exit_reason,status,tp1_pct,tp2_pct,max_bullish_candle_pct,mfe_pct,mae_pct,dea_neg_distance_days,industry,entry_kdj_j,entry_ma60_dist_pct,ma_alignment,macd_zone,entry_circ_mv,entry_week_kdj_j,entry_week_macd_zone,entry_month_macd_zone,entry_hs300_dif_above_zero,entry_hs300_bull_align,entry_stock_bull_align,entry_stock_above_ma25,entry_sector_bull_align,entry_sector_above_ma25,entry_sector_dif_above_zero,entry_sector_week_macd_zone,entry_sector_month_macd_zone,entry_sector_momentum_60d,date,sector,close,ma25,ma60,dea,atr,was_bought,skip_reason,forward_return_5d,forward_return_20d,forward_return_60d,factor_momentum_60d,factor_ma60_dist,factor_macd_strength,factor_roe,factor_pe_ttm,factor_netprofit_yoy,factor_sector_momentum_60d
603979.SH,12,2023-12-25,,,36.5387,,9000,,,1,0,未平仓,incomplete,0.0359,0.0718,0.02435,3.7067,-1.172,4,铜,94.81,4.38,全多头,区间1,224.11,87.98,区间0,区间3,False,False,True,True,False,False,False,区间0,区间0,-0.073865,2023-12-25,铜,36.69,35.18,35.15,0.21,0.8776953507629138,True,,0.041156,-0.02562,0.372581,0.011859,0.043812,0.21,,,,
603298.SH,10,2023-12-26,,,16.3816,,10100,,,0,0,未平仓,incomplete,0.0438,0.0877,0.023766,4.2735,-0.6716,1,工程机械,101.15,6.92,局部空头,区间1,226.04,77.4,区间0,区间3,False,False,False,True,False,False,False,区间0,区间0,-0.06166,2023-12-26,工程机械,16.38,15.08,15.32,0.04,0.4788344354185674,True,,0.039072,0.004274,0.101343,0.044643,0.069191,0.04,,,,
603225.SH,9,2023-12-13,,,12.8806,,38600,,,2,0,未平仓,incomplete,0.0411,0.0822,0.024316,6.2452,-3.6237,1,化纤,107.41,7.37,局部空头,区间1,205.71,38.79,区间0,区间1,False,False,False,True,False,False,False,区间1,区间0,-0.082377,2023-12-13,化纤,12.97,11.72,12.08,0.02,0.3555148155067875,True,,-0.014649,-0.063223,0.071704,0.019654,0.073675,0.02,,,,
601985.SH,10,2023-12-21,,,7.0907,,23500,,,0,0,未平仓,incomplete,0.03,0.06,0.015449,2.3977,-0.4231,3,新型电力,89.76,1.72,局部空头,区间1,1387.92,31.57,区间0,区间3,False,False,False,True,False,False,True,区间1,区间0,-0.016837,2023-12-21,新型电力,7.09,6.87,6.97,0.02,0.1209303443524046,True,,0.005642,0.073343,0.196051,-0.001408,0.017217,0.02,,,,
601899.SH,10,2023-12-28,,,11.8612,,14000,,,0,0,未平仓,incomplete,0.0333,0.0665,0.016129,1.0961,-0.6745,1,铜,89.43,3.4,局部空头,区间1,2534.97,50.74,区间0,区间3,False,False,False,True,False,True,False,区间0,区间0,-0.026792,2023-12-28,铜,11.86,11.43,11.47,0.01,0.2630755787682761,True,,0.010118,-0.010118,0.365936,-0.000842,0.034002,0.01,,,,
601689.SH,13,2023-11-21,,,48.2524,,6800,,,1,0,未平仓,incomplete,0.0566,0.1133,0.069162,8.0427,-4.3291,3,汽车配件,77.18,2.39,局部空头,区间1,795.13,71.95,区间0,区间0,False,False,False,True,True,True,True,区间2,区间0,0.099649,2023-11-21,汽车配件,48.74,45.51,47.6,0.32,1.8404236783972816,True,,0.010669,0.037136,-0.27739,0.098242,0.02395,0.32,,,,
601179.SH,10,2023-12-25,,,4.7403,,70200,,,1,0,未平仓,incomplete,0.03,0.06,0.006369,0.6289,-2.3061,3,电气设备,105.71,5.76,全空头,区间1,251.17,98.99,区间1,区间0,False,False,False,True,False,False,False,区间0,区间0,-0.128928,2023-12-25,电气设备,4.77,4.49,4.51,0.02,0.0857225386880024,True,,0.016771,-0.018868,0.077568,0.010593,0.05765,0.02,,,,
601139.SH,7,2023-12-13,,,6.9107,,24100,,,0,0,未平仓,incomplete,0.03,0.06,0.009132,1.5919,-6.657,4,供气供热,99.77,6.47,局部多头,区间1,208.85,89.38,区间1,区间0,False,False,False,True,False,True,True,区间0,区间0,-0.011828,2023-12-13,供气供热,6.91,6.51,6.49,0.04,0.1121185411157473,True,,-0.028944,-0.05644,-0.040521,0.042232,0.064715,0.04,,,,
601000.SH,8,2023-12-06,,,3.2902,,101200,,,1,0,未平仓,incomplete,0.03,0.06,0.012085,3.6254,-4.8338,3,港口,82.87,1.85,局部空头,区间1,215.7,50.01,区间0,区间3,False,False,False,True,False,False,True,区间1,区间0,-0.04709,2023-12-06,港口,3.31,3.21,3.25,0.01,0.0661005116437581,True,,0.018127,0.042296,0.265861,0.088816,0.018462,0.01,,,,
600845.SH,11,2023-12-13,,,37.5138,,8800,,,1,0,未平仓,incomplete,0.039,0.078,0.01597,3.595,-2.8813,3,软件服务,105.33,8.55,局部空头,区间1,826.26,86.36,区间0,区间0,False,False,False,True,False,False,True,区间1,区间1,-0.01553,2023-12-13,软件服务,37.83,34.84,34.85,0.35,0.9831415158679178,True,,-0.016389,-0.052868,-0.099921,0.013394,0.085509,0.35,,,,
