condition_field,bucket,count,win_rate,avg_return,avg_holding_days
entry_kdj_j,"[0,40)",164,0.25,-0.3413,19.0
entry_kdj_j,[100+),451,0.4539,2.9874,43.5
entry_kdj_j,"[40,80)",2464,0.35,0.5898,27.0
entry_kdj_j,"[80,100)",2832,0.4334,1.8085,36.7
entry_ma60_dist_pct,"[0%,5%)",3623,0.344,0.5908,27.2
entry_ma60_dist_pct,"[10%,20%)",649,0.5054,2.7628,44.8
entry_ma60_dist_pct,[20%+),105,0.5385,3.5401,47.3
entry_ma60_dist_pct,"[5%,10%)",1534,0.459,2.3158,39.4
entry_month_macd_zone,区间0,2818,0.3954,1.1344,32.4
entry_month_macd_zone,区间1,1616,0.3877,1.3113,32.0
entry_month_macd_zone,区间2,357,0.3634,1.6031,32.5
entry_month_macd_zone,区间3,1120,0.4146,1.7567,34.2
entry_week_kdj_j,"[0,40)",907,0.3389,0.737,27.7
entry_week_kdj_j,[100+),88,0.5114,3.5934,42.5
entry_week_kdj_j,"[40,80)",3885,0.3876,1.1717,32.4
entry_week_kdj_j,"[80,100)",1031,0.4624,2.2476,37.3
entry_week_macd_zone,区间0,3144,0.3878,1.43,32.2
entry_week_macd_zone,区间1,2000,0.4052,1.1706,33.2
entry_week_macd_zone,区间2,78,0.4872,1.1529,33.2
entry_week_macd_zone,区间3,689,0.3875,1.3431,32.7
ma_alignment,全多头,527,0.4297,1.4226,33.9
ma_alignment,全空头,1649,0.4149,1.7595,33.7
ma_alignment,局部多头,834,0.4148,1.5954,33.4
ma_alignment,局部空头,2807,0.3719,0.9316,31.5
ma_alignment,混合,94,0.3617,2.6732,36.1
macd_zone,区间0,4,0.25,-1.1062,10.5
macd_zone,区间1,5298,0.3931,1.3097,32.8
macd_zone,区间2,603,0.4143,1.5414,32.0
macd_zone,区间3,6,0.1667,-2.1174,24.5
