ts_code,list_date,delist_date,industry
000300.SH,,,
000905.SH,,,
000001.SZ,19910403,,银行
000002.SZ,19910129,,全国地产
000009.SZ,19910625,,电气设备
000021.SZ,19940202,,元器件
000027.SZ,19930903,,火力发电
000032.SZ,19931028,,建筑工程
000034.SZ,19940509,,软件服务
000039.SZ,19940408,,运输设备
000050.SZ,19950315,,元器件
000060.SZ,19970123,,铅锌
000062.SZ,19970130,,元器件
000063.SZ,19971118,,通信设备
000088.SZ,19970728,,港口
000100.SZ,20040130,,元器件
000155.SZ,20000926,,新型电力
000157.SZ,20001012,,工程机械
000166.SZ,20150126,,证券
000301.SZ,20000529,,化纤
000333.SZ,20130918,,家用电器
000338.SZ,20070430,,汽车配件
000400.SZ,19970418,,电气设备
000408.SZ,19960628,,农药化肥
000415.SZ,19960716,,多元金融
000423.SZ,19960729,,中成药
000425.SZ,19960828,,工程机械
000426.SZ,19960828,,铅锌
000429.SZ,19980220,,路桥
000513.SZ,19931028,,化学制药
000519.SZ,19931008,,专用机械
000528.SZ,19931118,,工程机械
000537.SZ,19931210,,新型电力
000538.SZ,19931215,,中成药
000539.SZ,19931126,,火力发电
000559.SZ,19940110,,汽车配件
000563.SZ,19940110,,多元金融
000568.SZ,19940509,,白酒
000582.SZ,19951102,,港口
000591.SZ,19960208,,新型电力
000596.SZ,19960927,,白酒
000598.SZ,19960529,,水务
000617.SZ,19961022,,多元金融
000623.SZ,19961028,,中成药
000625.SZ,19970610,,汽车整车
000629.SZ,19961115,,小金属
000630.SZ,19961120,,铜
000651.SZ,19961118,,家用电器
000657.SZ,19961205,,小金属
000661.SZ,19961218,,生物制药
000683.SZ,19970131,,化工原料
000703.SZ,19970328,,化纤
000708.SZ,19970326,,特种钢
000709.SZ,19970416,,普钢
000723.SZ,19970515,,焦炭加工
000725.SZ,20010112,,元器件
000728.SZ,19970616,,证券
000729.SZ,19970716,,啤酒
000733.SZ,19970703,,元器件
000738.SZ,19970626,,航空
000739.SZ,19970509,,化学制药
000750.SZ,19970709,,证券
000768.SZ,19970626,,航空
000776.SZ,19970611,,证券
000783.SZ,19970731,,证券
000785.SZ,19970711,,百货
000786.SZ,19970606,,其他建材
000792.SZ,19970904,,农药化肥
000807.SZ,19980408,,铝
000825.SZ,19981021,,特种钢
000830.SZ,19980807,,化工原料
000831.SZ,19980911,,小金属
000858.SZ,19980427,,白酒
000876.SZ,19980311,,饲料
000878.SZ,19980602,,铜
000883.SZ,19980519,,水力发电
000887.SZ,19981203,,汽车配件
000893.SZ,19981224,,农药化肥
000895.SZ,19981210,,食品
000898.SZ,19971225,,普钢
000921.SZ,19990713,,家用电器
000932.SZ,19990803,,普钢
000933.SZ,19990831,,铝
000937.SZ,19990909,,煤炭开采
000938.SZ,19991104,,IT设备
000951.SZ,19991125,,汽车整车
000958.SZ,19991223,,新型电力
000959.SZ,19991216,,普钢
000960.SZ,20000221,,小金属
000963.SZ,20000127,,化学制药
000967.SZ,20000330,,环境保护
000975.SZ,20000608,,黄金
000977.SZ,20000608,,IT设备
000983.SZ,20000726,,煤炭开采
000987.SZ,20000718,,多元金融
000997.SZ,20000807,,IT设备
000999.SZ,20000309,,中成药
001213.SZ,20210908,,铁路
001221.SZ,20250730,,家居用品
001286.SZ,20230410,,火力发电
001389.SZ,20240402,,元器件
001391.SZ,20241230,,仓储物流
001696.SZ,19970306,,摩托车
001965.SZ,20171225,,路桥
001979.SZ,20151230,,全国地产
